date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:28	128841/128841	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:22%20GMT	http://demo.devitems.com/mirora-v2/mirora/shop.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/shop.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:29	128833/128833	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:24%20GMT	http://demo.devitems.com/mirora-v2/mirora/shop-right-sidebar.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/shop-right-sidebar.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:29	118239/118239	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:19%20GMT	http://demo.devitems.com/mirora-v2/mirora/shop-fullwidth.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/shop-fullwidth.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:30	118248/118248	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:18%20GMT	http://demo.devitems.com/mirora-v2/mirora/shop-fullwidth-4-column.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/shop-fullwidth-4-column.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:30	128873/128873	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:19%20GMT	http://demo.devitems.com/mirora-v2/mirora/shop-list-left-sidebar.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/shop-list-left-sidebar.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:31	128853/128853	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:20%20GMT	http://demo.devitems.com/mirora-v2/mirora/shop-list-right-sidebar.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/shop-list-right-sidebar.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:32	118226/118226	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:20%20GMT	http://demo.devitems.com/mirora-v2/mirora/shop-list.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/shop-list.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:32	98494/98494	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:15%20GMT	http://demo.devitems.com/mirora-v2/mirora/product-details-variable.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/product-details-variable.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:33	99557/99557	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:08%20GMT	http://demo.devitems.com/mirora-v2/mirora/product-details-group.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/product-details-group.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:33	96630/96630	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:08%20GMT	http://demo.devitems.com/mirora-v2/mirora/product-details-affiliate.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/product-details-affiliate.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
